ITEM_ID,OPC_FULLNAME,DH_BLDG,DH_ROOM,DH_TAG,ITEM_DESC,LOC_ID,COMMENTS,ENABLED,SOURCE,LAT,LON,FREQ,RETENTION
753,HUMANITIES_B43.PCHW.RT_CV,HUMANITIES,B43,PCHWS.RT,Processed CHW Return Temp,226,,Y,Cogen,,,15,-1
754,HUMANITIES_B43.PCHW.ST_CV,HUMANITIES,B43,PCHWS.ST,Processed CHW Supply Temp,226,,Y,Cogen,,,15,-1
755,HUMANITIES_B43.PHW.FLO_CV,HUMANITIES,B43,PHWS.FLW,Processed HW Flow,226,,Y,Cogen,,,15,-1
756,IPAM_A426.MSSA.DMD_CV,PORTOLA_BLDG,A426,MSSA.DMD,,319,,Y,77,,,15,-1
757,IPAM_A426.MSSA.KWH_CV,PORTOLA_BLDG,A426,MSSA.KWH,,319,,Y,,,,15,-1
758,KAUFMAN_040.STM.FLW_CV,KAUFMAN,040,STM.FLW,Steam Flow,350,,Y,Cogen,,,15,-1
760,KCHWRT_CV,KERCKHOFF,,CHWS.RT,CHW Return Temp,268,,Y,Cogen,,,15,-1
761,KCHWST_CV,KERCKHOFF,,CHWS.ST,CHW Supply Temp,268,,Y,Cogen,,,15,-1
762,KNUDSEN_B140.STM.FLW_CV,KNUDSEN_HALL,B140,STM.FLW,Steam Flow,227,PPH,Y,Cogen,,,15,-1
763,LUCK_B24.LPD.UTIL.KWH_CV,OHRC,B24,LPD.UTIL.KWH,Utility KWH,65322,,Y,Cogen,,,15,-1
764,LUCK_B24.SPD.UTIL.KWH_CV,OHRC,B24,SPD.UTIL.KWH,Utility KWH,65322,,Y,Cogen,,,15,-1
765,MACGOWAN_A100B.CHWS.FLW_CV,MACGOWAN,A100B,CHWS.FLW,CHW Flow,237,,Y,N.C.,,,15,-1
766,MACGOWAN_A100B.CHWS.RT_CV,MACGOWAN,A100B,CHWS.RT,CHW Return Temp,237,,Y,N.C.,,,15,-1
767,MACGOWAN_A100B.CHWS.ST_CV,MACGOWAN,A100B,CHWS.ST,CHW Supply Temp,237,,Y,N.C.,,,15,-1
768,MACGOWAN_A100B.STM.FLW_CV,MACGOWAN,A100B,STM.FLW,Steam Flow,237,,Y,N.C.,,,15,-1
769,MATHSCI_4210.STM.FLW_CV,MATH_SCIENCE,4210,STM.FLW,Steam Flow,250,,Y,Cogen,,,15,-1
770,MELNITZ_A100B.STM.FLW_CV,MELNITZ_HALL,A100B,STM.FLW,Steam Flow,259,,Y,N.C.,,,15,-1
772,MSB_1128.CHWS.FLW_CV,MOLECULR_SCI,1128,CHWS.FLW,CHW Flow,178,,Y,Cogen,,,15,-1
773,MSB_1128.CHWS.RT_CV,MOLECULR_SCI,1128,CHWS.RT,CHW Return Temp,178,,Y,Cogen,,,15,-1
774,MSB_1128.CHWS.ST_CV,MOLECULR_SCI,1128,CHWS.ST,CHW Supply Temp,178,,Y,Cogen,,,15,-1
775,MURPHY_A-112.STM.FLW_CV,MURPHY_HALL,A-112,STM.FLW,Steam Flow,181,,Y,Cogen,,,15,-1
776,MURPHY_B327.CHWS.F_CV,MURPHY_HALL,B327,CHWS.FLW,CHW Flow,181,,Y,Cogen,,,15,-1
777,PERLOFF-STM-FINS_CV,PERLOFF_HALL,B129,STM.FLW,Steam Flow,185,,Y,N.C.,,,15,-1
778,PHYSICS_A426.SUBA.KWH_CV,PHYS_ASTRO,A426,SUBA.KWH,KWH Meter,62534,,Y,Cogen,,,15,-1
779,PHYSICS_B426.SUBB.KWH_CV,PHYS_ASTRO,B426,SUBB.KWH,KWH Meter,62534,,Y,Cogen,,,15,-1
780,PHYSICS_CHW.FLOW_CV,PHYS_ASTRO,,CHWS.FLW,CHW Flow,62534,,Y,Cogen,,,15,-1
781,PHYSICS_KS02.CHWR.TMP_CV,PHYS_ASTRO,KS02,CHWS.RT,CHW Return Temp,62534,,Y,Cogen,,,60,-1
782,PHYSICS_KS02.CHWS.TMP_CV,PHYS_ASTRO,KS02,CHWS.ST,CHW Supply Temp,62534,,Y,Cogen,,,60,-1
783,PHYSICS_KS02.LPRF_CV,PHYS_ASTRO,KS02,LPRF,Steam,62534,,Y,Cogen,,,15,-1
784,PUBAFF_A-379.STM.12LBS_CV,PUB_AFFAIRS,A-379A,STM.FLW,Steam Flow,243,,Y,N.C.,,,15,-1
785,RCHWF_CV,ROYCE_HALL,,CHWS.FLW,CHW Flow,204,,Y,N.C.,,,15,-1
786,RCRT_CV,ROYCE_HALL,,CHWS.RT,CHW Return Temp,204,,Y,N.C.,,,15,-1
787,REGAN_P503.CHW.FLW_CV,RR/UCLA_MC,P503,CHWS.FLW,CHW Flow,65210,,Y,Cogen,,,15,-1
788,REGAN_P503.CHW.RT_CV,RR/UCLA_MC,P503,CHWS.RT,CHW Return Temp,65210,,Y,Cogen,,,15,-1
789,REGAN_P503.CHW.ST_CV,RR/UCLA_MC,P503,CHWS.ST,CHW Supply Temp,65210,,Y,Cogen,,,15,-1
790,REHAB_A-353.CHWS.RT_CV,REHAB_CENTER,A-353,CHWS.RT,CHW Return Temp,245,,Y,W.C.,,,15,-1
791,REHAB_A-353.CHWS.ST_CV,REHAB_CENTER,A-353,CHWS.ST,CHW Supply Temp,245,,Y,W.C.,,,15,-1
792,SAC_B21B.CHWS.FLW_CV,SAC,B21B,CHWS.FLW,CHW Flow,223,,Y,Cogen,,,15,-1
793,SBCHWR_CV,CSB1,,CHWS.RT,CHW Return Temp,330,,Y,,,,15,-1
794,SBCHWS_CV,CSB1,,CHWS.ST,CHW Supply Temp,330,,Y,,,,15,-1
